x,y
0.000440448,7.01949941482533E-06
0.000441336,7.02893149336927E-06
0.000442224,6.925906816726E-06
0.000443112,6.91157925271648E-06
0.000444,6.8966814674222E-06
0.000444888,6.88179905381988E-06
0.000445776,6.86706915680814E-06
0.000446664,6.85245875170422E-06
0.000447552,6.83769019231713E-06
0.00044844,6.82095777166826E-06
0.000449328,6.77116403153109E-06
0.000450216,6.75213474632453E-06
0.000451104,6.73621685848341E-06
0.000451992,6.7194593050418E-06
0.00045288,6.70088467067116E-06
0.000453768,6.68088260685823E-06
0.000454656,6.66159525296217E-06
0.000455544,6.64416395999582E-06
0.000456432,6.62794456703773E-06
0.00045732,6.61155580200039E-06
0.000458208,6.5913847467215E-06
0.000459096,6.56003282687255E-06
0.000459984,6.53739716081567E-06
0.000460872,6.52074552101516E-06
0.00046176,6.50492670736801E-06
0.000462648,6.4882262614005E-06
0.000463536,6.46892049569783E-06
0.000464424,6.44487606317975E-06
0.000465312,6.41711435548453E-06
0.0004662,6.3898020288212E-06
0.000467088,6.36623291336421E-06
0.000467976,6.34715033214893E-06
0.000468864,6.33065703687386E-06
0.000469752,6.31530820895588E-06
0.00047064,6.30025973612845E-06
0.000471528,6.28483876055966E-06
0.000472416,6.26816897239179E-06
0.000473304,6.24857963284735E-06
0.000474192,6.22219558897586E-06
0.00047508,6.18667088054424E-06
0.000475968,6.15876171720913E-06
0.000476856,6.13904094165703E-06
0.000477744,6.12269319283241E-06
0.000478632,6.10784045286998E-06
0.00047952,6.09363928284218E-06
0.000480408,6.07952432094384E-06
0.000481296,6.06461742085512E-06
0.000482184,6.04320070612098E-06
0.000483072,5.99962329652929E-06
0.00048396,5.97705875591063E-06
0.000484848,5.9400589483054E-06
0.000485736,5.9131958255192E-06
0.000486624,5.89629129889869E-06
0.000487512,5.88100297282898E-06
0.0004884,5.86572579960052E-06
0.000489288,5.84978888043588E-06
0.000490176,5.83283803998849E-06
0.000491064,5.81504444611015E-06
0.000491952,5.79712026292148E-06
0.00049284,5.77947255445308E-06
0.000493728,5.7614414033288E-06
0.000494616,5.73996505221521E-06
0.000495504,5.7038177178831E-06
0.000496392,5.67336214709563E-06
0.00049728,5.6529647718973E-06
0.000498168,5.63484606137202E-06
0.000499056,5.61789709225127E-06
0.000499944,5.60190367470507E-06
0.000500832,5.58662539967922E-06
